crop,temperature,humidity,rainfall,soil_type,season,nitrogen,phosphorus,potassium
Rice,28,75,1200,clayey,kharif,80,40,40
Rice,26,80,1500,loamy,kharif,85,45,45
Rice,30,70,1100,clayey,kharif,75,35,35
Wheat,20,60,600,loamy,rabi,70,50,50
Wheat,18,55,500,clayey,rabi,75,55,55
Wheat,22,65,700,loamy,rabi,65,45,45
Cotton,30,60,800,black,kharif,60,40,50
Cotton,28,65,900,loamy,kharif,65,45,55
Cotton,32,55,700,black,kharif,55,35,45
Sugarcane,28,70,1500,loamy,kharif,100,60,60
Sugarcane,30,75,1600,clayey,kharif,110,65,65
Sugarcane,26,68,1400,loamy,kharif,95,55,55
Maize,25,65,700,loamy,kharif,70,50,40
Maize,27,70,800,sandy,kharif,75,55,45
Maize,23,60,600,loamy,rabi,65,45,35
Groundnut,28,55,600,sandy,kharif,40,60,50
Groundnut,30,50,500,red,kharif,45,65,55
Groundnut,26,60,700,sandy,kharif,35,55,45
Soybean,26,65,800,loamy,kharif,50,70,60
Soybean,28,70,900,black,kharif,55,75,65
Soybean,24,60,700,loamy,kharif,45,65,55
Tomato,24,70,600,loamy,rabi,80,60,50
Tomato,22,75,700,red,rabi,85,65,55
Tomato,26,65,500,loamy,zaid,75,55,45
Potato,20,70,700,loamy,rabi,90,50,50
Potato,18,75,800,sandy,rabi,95,55,55
Potato,22,65,600,loamy,rabi,85,45,45
Onion,25,60,500,loamy,rabi,60,50,50
Onion,23,65,600,red,rabi,65,55,55
Onion,27,55,400,loamy,zaid,55,45,45
